epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.376,1.84457,3.19247,1.78367,0.40847,0.08494,0.18653,0.09478,1.65062,2.97632,1.67633,0.000469529,0.000469529,0.000469529
2,109.124,1.83666,2.68275,1.81227,0.27753,0.34645,0.20295,0.08359,1.96553,3.58197,1.94615,0.000852222,0.000852222,0.000852222
3,138.689,1.89581,2.54794,1.87075,0.58213,0.26839,0.32185,0.14952,1.89628,2.87311,2.00071,0.0011406,0.0011406,0.0011406
4,172.862,1.83706,2.31057,1.79927,0.47979,0.44241,0.42255,0.21534,1.68906,2.01264,1.70947,0.00100459,0.00100459,0.00100459
5,205.294,1.81472,2.1655,1.80837,0.544,0.53813,0.53536,0.28199,1.59902,1.76754,1.63858,0.000863116,0.000863116,0.000863116
6,236.32,1.72721,2.00029,1.72958,0.6503,0.60207,0.62754,0.35723,1.50709,1.49326,1.52165,0.000721645,0.000721645,0.000721645
7,266.736,1.68974,1.90304,1.70754,0.67918,0.63644,0.65339,0.38287,1.44126,1.32652,1.48437,0.000580174,0.000580174,0.000580174
8,302.225,1.68913,1.76645,1.68188,0.72747,0.67502,0.70994,0.43802,1.37301,1.21001,1.41246,0.000438703,0.000438703,0.000438703
9,332.27,1.61276,1.66748,1.64018,0.75335,0.6683,0.72769,0.45942,1.34197,1.14951,1.4045,0.000297232,0.000297232,0.000297232
10,363.131,1.57068,1.59232,1.61111,0.7957,0.71102,0.75448,0.48368,1.28727,1.07746,1.36711,0.000155761,0.000155761,0.000155761
1,76.6462,1.84457,3.19247,1.78367,0.40847,0.08494,0.18653,0.09478,1.65062,2.97632,1.67633,0.000469529,0.000469529,0.000469529
2,106.768,1.83666,2.68275,1.81227,0.27753,0.34645,0.20295,0.08359,1.96553,3.58197,1.94615,0.000852222,0.000852222,0.000852222
3,136.574,1.89581,2.54794,1.87075,0.58213,0.26839,0.32185,0.14952,1.89628,2.87311,2.00071,0.0011406,0.0011406,0.0011406
4,167.347,1.83706,2.31057,1.79927,0.47979,0.44241,0.42255,0.21534,1.68906,2.01264,1.70947,0.00100459,0.00100459,0.00100459
5,200.199,1.81472,2.1655,1.80837,0.544,0.53813,0.53536,0.28199,1.59902,1.76754,1.63858,0.000863116,0.000863116,0.000863116
6,232.816,1.72721,2.00029,1.72958,0.6503,0.60207,0.62754,0.35723,1.50709,1.49326,1.52165,0.000721645,0.000721645,0.000721645
7,266.445,1.68974,1.90304,1.70754,0.67918,0.63644,0.65339,0.38287,1.44126,1.32652,1.48437,0.000580174,0.000580174,0.000580174
8,298.049,1.68913,1.76645,1.68188,0.72747,0.67502,0.70994,0.43802,1.37301,1.21001,1.41246,0.000438703,0.000438703,0.000438703
9,331.325,1.61276,1.66748,1.64018,0.75335,0.6683,0.72769,0.45942,1.34197,1.14951,1.4045,0.000297232,0.000297232,0.000297232
10,361.009,1.57068,1.59232,1.61111,0.7957,0.71102,0.75448,0.48368,1.28727,1.07746,1.36711,0.000155761,0.000155761,0.000155761
1,97.0301,1.80994,3.55415,1.80958,0.48898,0.38949,0.41531,0.27124,1.81656,3.0204,1.87871,0.000367725,0.000367725,0.000367725
2,153.432,1.8579,2.97333,1.85291,0.46037,0.47602,0.4145,0.26232,1.80914,2.33003,1.82159,0.000664991,0.000664991,0.000664991
3,211.088,1.87768,2.6828,1.87736,0.53027,0.49135,0.46538,0.29131,1.81522,2.67065,1.83884,0.00088893,0.00088893,0.00088893
4,265.303,1.84471,2.43929,1.83657,0.55996,0.5506,0.50445,0.30832,1.79941,2.30246,1.80383,0.000781033,0.000781033,0.000781033
5,319.066,1.77912,2.20994,1.81192,0.62236,0.60273,0.60548,0.37252,1.70945,1.81609,1.72892,0.000671044,0.000671044,0.000671044
6,373.017,1.73992,2.02097,1.76227,0.61841,0.64122,0.65595,0.40951,1.6032,1.66519,1.62889,0.000561055,0.000561055,0.000561055
7,427.126,1.6811,1.86528,1.71397,0.69217,0.67898,0.70811,0.44964,1.51408,1.52068,1.55545,0.000451066,0.000451066,0.000451066
8,482.103,1.61928,1.73498,1.66035,0.7095,0.72224,0.74933,0.47185,1.49142,1.37088,1.52083,0.000341077,0.000341077,0.000341077
9,535.339,1.58957,1.62827,1.623,0.74319,0.74489,0.78197,0.50847,1.42488,1.26779,1.47301,0.000231088,0.000231088,0.000231088
10,588.867,1.54903,1.53662,1.57931,0.79909,0.7583,0.79888,0.52425,1.38852,1.2087,1.43435,0.000121099,0.000121099,0.000121099
1,107.385,1.80994,3.55415,1.80958,0.48898,0.38949,0.41531,0.27124,1.81656,3.0204,1.87871,0.000367725,0.000367725,0.000367725
2,193.634,1.8579,2.97333,1.85291,0.46037,0.47602,0.4145,0.26232,1.80914,2.33003,1.82159,0.000664991,0.000664991,0.000664991
3,275.168,1.87768,2.6828,1.87736,0.53027,0.49135,0.46538,0.29131,1.81522,2.67065,1.83884,0.00088893,0.00088893,0.00088893
4,356.114,1.84471,2.43929,1.83657,0.55996,0.5506,0.50445,0.30832,1.79941,2.30246,1.80383,0.000781033,0.000781033,0.000781033
5,425.126,1.77912,2.20994,1.81192,0.62236,0.60273,0.60548,0.37252,1.70945,1.81609,1.72892,0.000671044,0.000671044,0.000671044
6,488.764,1.73992,2.02097,1.76227,0.61841,0.64122,0.65595,0.40951,1.6032,1.66519,1.62889,0.000561055,0.000561055,0.000561055
7,553.861,1.6811,1.86528,1.71397,0.69217,0.67898,0.70811,0.44964,1.51408,1.52068,1.55545,0.000451066,0.000451066,0.000451066
8,620.194,1.61928,1.73498,1.66035,0.7095,0.72224,0.74933,0.47185,1.49142,1.37088,1.52083,0.000341077,0.000341077,0.000341077
9,688.553,1.58957,1.62827,1.623,0.74319,0.74489,0.78197,0.50847,1.42488,1.26779,1.47301,0.000231088,0.000231088,0.000231088
10,764.658,1.54903,1.53662,1.57931,0.79909,0.7583,0.79888,0.52425,1.38852,1.2087,1.43435,0.000121099,0.000121099,0.000121099
1,102.401,1.81214,3.56797,1.75251,0.50669,0.43552,0.43855,0.27929,1.79363,2.64437,1.77511,0.000367725,0.000367725,0.000367725
2,163.241,1.86566,2.9354,1.83426,0.62444,0.34861,0.42244,0.19978,1.92506,2.85053,1.91958,0.000664991,0.000664991,0.000664991
3,218.35,1.90047,2.67672,1.90196,0.45726,0.44723,0.45466,0.25659,1.88957,2.55722,1.93796,0.00088893,0.00088893,0.00088893
4,272.967,1.84798,2.4132,1.84656,0.58904,0.51081,0.53021,0.31074,1.78469,2.21879,1.83734,0.000781033,0.000781033,0.000781033
5,328.52,1.7941,2.20178,1.82858,0.61606,0.60017,0.59542,0.367,1.68933,1.98785,1.72743,0.000671044,0.000671044,0.000671044
6,400.399,1.74416,2.03272,1.76958,0.67787,0.62344,0.65489,0.41472,1.57109,1.6784,1.61175,0.000561055,0.000561055,0.000561055
7,462.524,1.66644,1.87217,1.70093,0.69644,0.68447,0.70715,0.43195,1.58796,1.48894,1.62317,0.000451066,0.000451066,0.000451066
